Collection State Code,Year,Month,Normalized_Concentration
CA,2,1,0.83
CA,2,1,0.97
CA,2,1,0.042
CA,2,1,0.45
CA,2,1,0.23
CA,2,1,0.4
CA,2,1,0.039
CA,2,1,0.6
CA,2,1,0.042
CA,2,1,0.98
CA,2,1,0.24
CA,2,1,0.097
CA,2,1,0.42
CA,2,2,0.29
CA,2,2,0.076
CA,2,2,0.41
CA,2,2,0.14
CA,2,2,1.5
CA,2,2,0.042
CA,2,2,0.24
CA,2,2,0.022
CA,2,2,0.23
CA,2,3,0.35
CA,2,3,0.018
CA,2,3,0.45
CA,2,3,0.039
CA,2,3,0.018
CA,2,3,0.92
CA,2,3,0.33
CA,2,3,0.035
CA,2,3,0.4
CA,2,3,0.15
CA,2,3,1.4
CA,2,3,0.3
CA,2,3,0.007
CA,2,3,0.02
CA,2,3,3.7
CA,2,3,0.59
CA,2,3,0.045
CA,2,3,0.042
CA,2,3,0.35
CA,2,3,0.3
CA,2,3,0.5
CA,2,3,0.47
CA,2,3,0.38
CA,2,3,0.1
CA,2,3,0.025
CA,2,3,0.016
CA,2,3,0.008
CA,2,3,1.3
CA,2,4,0.53
CA,2,4,0.041
CA,2,4,3.0
CA,2,4,0.22
CA,2,4,0.042
CA,2,4,0.018
CA,2,4,0.49
CA,2,4,0.59
CA,2,4,0.4
CA,2,4,0.59
CA,2,4,0.3
CA,2,4,0.99
CA,2,4,0.085
CA,2,4,0.022
CA,2,4,0.36
CA,2,4,0.15
CA,2,4,0.1
CA,2,4,0.018
CA,2,5,1.5
CA,2,5,0.31
CA,2,5,0.022
CA,2,5,1.0
CA,2,5,0.018
CA,2,5,0.53
CA,2,5,0.05
CA,2,5,0.24
CA,2,5,0.076
CA,2,5,0.042
CA,2,5,0.018
CA,2,5,1.4
CA,2,5,0.042
CA,2,5,0.59
CA,2,5,0.007
CA,2,5,1.2
CA,2,5,0.042
CA,2,5,0.02
CA,2,5,0.018
CA,2,5,0.54
CA,2,5,0.072
CA,2,5,0.33
CA,2,5,0.8
CA,2,6,0.45
CA,2,6,0.45
CA,2,6,0.007
CA,2,6,0.97
CA,2,6,0.38
CA,2,6,0.007
CA,2,6,0.018
CA,2,6,0.66
CA,2,6,0.88
CA,2,6,0.6
CA,2,6,0.018
CA,2,6,1.2
CA,2,6,0.82
CA,2,6,1.7
CA,2,6,0.84
CA,2,6,0.42
CA,2,6,0.14
CA,2,6,0.042
CA,2,6,0.018
CA,2,7,2.7
CA,2,7,0.38
CA,2,7,0.87
CA,2,7,0.39
CA,2,7,0.67
CA,2,7,0.51
CA,2,7,0.042
CA,2,7,0.34
CA,2,7,0.018
CA,2,7,0.24
CA,2,7,0.45
CA,2,7,1.0
CA,2,7,0.11
CA,2,7,1.0
CA,2,8,0.087
CA,2,8,0.18
CA,2,8,0.92
CA,2,8,0.29
CA,2,8,0.4
CA,2,8,0.27
CA,2,8,0.55
CA,2,8,1.5
CA,2,8,0.58
CA,2,8,1.2
CA,2,8,0.48
CA,2,8,0.2
CA,2,8,0.061
CA,2,8,0.032
CA,2,8,1.3
CA,2,9,0.13
CA,2,9,0.087
CA,2,9,0.013
CA,2,9,0.018
CA,2,9,0.034
CA,2,9,0.47
CA,2,9,1.3
CA,2,9,0.68
CO,2,1,0.042
CO,2,1,1.8
CO,2,1,0.38
CO,2,1,0.52
CO,2,2,0.71
CO,2,2,0.21
CO,2,3,0.34
CO,2,3,0.42
CO,2,4,0.55
CO,2,4,0.022
CO,2,5,0.39
CO,2,5,0.018
CO,2,6,0.48
CO,2,6,0.2
CO,2,7,0.48
CO,2,7,0.41
CO,2,8,0.66
CO,2,8,0.34
CO,2,8,0.39
CO,2,9,2.2
CO,2,9,0.25
FL,2,1,0.17
FL,2,1,0.091
FL,2,1,0.042
FL,2,1,0.61
FL,2,1,0.48
FL,2,1,0.1
FL,2,1,0.02
FL,2,1,0.43
FL,2,1,0.053
FL,2,2,0.018
FL,2,2,0.55
FL,2,2,0.26
FL,2,2,0.25
FL,2,2,0.23
FL,2,2,0.29
FL,2,2,1.8
FL,2,2,0.8
FL,2,2,0.41
FL,2,3,0.091
FL,2,3,0.35
FL,2,3,0.018
FL,2,3,1.6
FL,2,3,0.042
FL,2,3,0.007
FL,2,3,0.042
FL,2,3,0.03
FL,2,3,0.028
FL,2,3,2.2
FL,2,4,0.11
FL,2,4,0.054
FL,2,4,0.042
FL,2,4,0.018
FL,2,4,0.49
FL,2,4,0.083
FL,2,4,0.09
FL,2,4,0.035
FL,2,4,1.2
FL,2,5,0.8
FL,2,5,0.33
FL,2,5,0.28
FL,2,5,0.95
FL,2,5,0.29
FL,2,5,0.2
FL,2,5,0.14
FL,2,5,0.022
FL,2,5,0.86
FL,2,5,0.45
FL,2,5,0.37
FL,2,6,0.28
FL,2,6,0.022
FL,2,6,0.022
FL,2,6,1.4
FL,2,6,0.22
FL,2,6,0.007
FL,2,6,0.56
FL,2,6,0.36
FL,2,6,0.018
FL,2,6,0.36
